Date,TimeFromStart,TaskNumber,PostID,QuestionType,ClickTarget
1759928705169,52.1418,1,post7,Start,readnews
1759928742009,89.00953,1,post7,Start,question
1759928762765,109.7655,1,post7,Is_Fake,not_fake
1759928763476,110.4778,1,post7,Level_Of_Confident,3
1759928764397,111.398,1,post7,Level_Of_Confident,go_to_have_seen
1759928765586,112.5865,1,post7,Have_seen,yes
1759928846591,193.5698,2,post8,Start,readnews
1759928847876,194.8773,2,post8,Start,question
1759928853493,200.4944,2,post8,Is_Fake,not_fake
1759928865402,212.4031,2,post8,Level_Of_Confident,3
1759928866026,213.0269,2,post8,Level_Of_Confident,5
1759928867040,214.0415,2,post8,Level_Of_Confident,go_to_have_seen
1759928870501,217.5019,2,post8,Have_seen,yes
1759928911136,258.1114,3,post15,Start,readnews
1759929010337,357.0186,3,post15,Start,question
1759929011018,357.6997,3,post15,Is_Fake,fake
1759929011682,358.3629,3,post15,Level_Of_Confident,4
1759929012043,358.7237,3,post15,Level_Of_Confident,go_to_have_seen
1759929012682,359.3629,3,post15,Have_seen,no
1759929390336,736.9917,4,post13,Start,readnews
1760470133140,4.530725,1,post7,Start,readnews
1760470136306,7.722152,1,post7,Start,question
1760470137090,8.505629,1,post7,Is_Fake,not_fake
1760470137971,9.38687,1,post7,Level_Of_Confident,4
1760470138383,9.799671,1,post7,Level_Of_Confident,go_to_have_seen
1760470138963,10.37865,1,post7,Have_seen,no
1760470144062,15.45787,2,post5,Start,readnews
1760470148063,19.47866,2,post5,Start,question
1760470148591,20.00755,2,post5,Is_Fake,not_fake
1760470149719,21.13546,2,post5,Level_Of_Confident,5
1760470150113,21.52928,2,post5,Level_Of_Confident,go_to_have_seen
1760470150823,22.23904,2,post5,Have_seen,yes
1760470153084,24.47875,3,post15,Start,readnews
1760510850107,12.62317,1,post1,Start,readnews
1760510852917,15.4591,1,post1,Start,question
1760510853574,16.11524,1,post1,Is_Fake,fake
1760510854141,16.6827,1,post1,Level_Of_Confident,5
1760510854525,17.0666,1,post1,Level_Of_Confident,go_to_have_seen
1760510855066,17.60818,1,post1,Have_seen,yes
1760510858367,20.8878,2,post14,Start,readnews
